measure,age,ss_1_19,raw_min,raw_max
OTm_orientation,7,4,2,2
OTm_orientation,7,5,NA,NA
OTm_orientation,7,6,3,3
OTm_orientation,7,7,4,4
OTm_orientation,7,8,NA,NA
OTm_orientation,7,9,5,5
OTm_orientation,7,10,6,6
OTm_orientation,7,11,NA,NA
OTm_orientation,7,12,7,7
OTm_orientation,7,13,8,8
OTm_orientation,7,14,NA,NA
OTm_orientation,7,15,9,9
OTm_orientation,7,16,NA,NA
OTm_orientation,7,17,NA,NA
OTm_orientation,7,18,10,10
OTm_orientation,7,19,NA,NA
OTm_orientation,7.25,1,0,1
OTm_orientation,7.25,2,NA,NA
OTm_orientation,7.25,3,NA,NA
OTm_orientation,7.25,4,2,2
OTm_orientation,7.25,5,NA,NA
OTm_orientation,7.25,6,3,3
OTm_orientation,7.25,7,4,4
OTm_orientation,7.25,8,5,5
OTm_orientation,7.25,9,NA,NA
OTm_orientation,7.25,10,6,6
OTm_orientation,7.25,11,7,7
OTm_orientation,7.25,12,NA,NA
OTm_orientation,7.25,13,8,8
OTm_orientation,7.25,14,NA,NA
OTm_orientation,7.25,15,9,9
OTm_orientation,7.25,16,NA,NA
OTm_orientation,7.25,17,NA,NA
OTm_orientation,7.25,18,10,10
OTm_orientation,7.25,19,NA,NA
OTm_orientation,7.5,1,0,1
OTm_orientation,7.5,2,NA,NA
OTm_orientation,7.5,3,NA,NA
OTm_orientation,7.5,4,2,2
OTm_orientation,7.5,5,3,3
OTm_orientation,7.5,6,NA,NA
OTm_orientation,7.5,7,4,4
OTm_orientation,7.5,8,5,5
OTm_orientation,7.5,9,NA,NA
OTm_orientation,7.5,10,6,6
OTm_orientation,7.5,11,7,7
OTm_orientation,7.5,12,NA,NA
OTm_orientation,7.5,13,8,8
OTm_orientation,7.5,14,9,9
OTm_orientation,7.5,15,NA,NA
OTm_orientation,7.5,16,NA,NA
OTm_orientation,7.5,17,10,10
OTm_orientation,7.5,18,NA,NA
OTm_orientation,7.5,19,NA,NA
OTm_orientation,7.75,1,0,1
OTm_orientation,7.75,2,NA,NA
OTm_orientation,7.75,3,2,2
OTm_orientation,7.75,4,NA,NA
OTm_orientation,7.75,5,3,3
OTm_orientation,7.75,6,NA,NA
OTm_orientation,7.75,7,4,4
OTm_orientation,7.75,8,5,5
OTm_orientation,7.75,9,6,6
OTm_orientation,7.75,10,NA,NA
OTm_orientation,7.75,11,7,7
OTm_orientation,7.75,12,NA,NA
OTm_orientation,7.75,13,8,8
OTm_orientation,7.75,14,9,9
OTm_orientation,7.75,15,NA,NA
OTm_orientation,7.75,16,NA,NA
OTm_orientation,7.75,17,10,10
OTm_orientation,7.75,18,NA,NA
OTm_orientation,7.75,19,NA,NA
OTm_orientation,8,1,0,1
OTm_orientation,8,2,NA,NA
OTm_orientation,8,3,2,2
OTm_orientation,8,4,NA,NA
OTm_orientation,8,5,3,3
OTm_orientation,8,6,4,4
OTm_orientation,8,7,5,5
OTm_orientation,8,8,NA,NA
OTm_orientation,8,9,6,6
OTm_orientation,8,10,NA,NA
OTm_orientation,8,11,7,7
OTm_orientation,8,12,8,8
OTm_orientation,8,13,NA,NA
OTm_orientation,8,14,9,9
OTm_orientation,8,15,NA,NA
OTm_orientation,8,16,NA,NA
OTm_orientation,8,17,10,10
OTm_orientation,8,18,NA,NA
OTm_orientation,8,19,NA,NA
OTm_orientation,8.25,1,0,1
OTm_orientation,8.25,2,NA,NA
OTm_orientation,8.25,3,2,2
OTm_orientation,8.25,4,3,3
OTm_orientation,8.25,5,NA,NA
OTm_orientation,8.25,6,4,4
OTm_orientation,8.25,7,5,5
OTm_orientation,8.25,8,NA,NA
OTm_orientation,8.25,9,6,6
OTm_orientation,8.25,10,7,7
OTm_orientation,8.25,11,NA,NA
OTm_orientation,8.25,12,8,8
OTm_orientation,8.25,13,NA,NA
OTm_orientation,8.25,14,9,9
OTm_orientation,8.25,15,NA,NA
OTm_orientation,8.25,16,NA,NA
OTm_orientation,8.25,17,10,10
OTm_orientation,8.25,18,NA,NA
OTm_orientation,8.25,19,NA,NA
OTm_orientation,8.5,1,0,1
OTm_orientation,8.5,2,NA,NA
OTm_orientation,8.5,3,2,2
OTm_orientation,8.5,4,3,3
OTm_orientation,8.5,5,4,4
OTm_orientation,8.5,6,NA,NA
OTm_orientation,8.5,7,5,5
OTm_orientation,8.5,8,6,6
OTm_orientation,8.5,9,NA,NA
OTm_orientation,8.5,10,7,7
OTm_orientation,8.5,11,NA,NA
OTm_orientation,8.5,12,8,8
OTm_orientation,8.5,13,9,9
OTm_orientation,8.5,14,NA,NA
OTm_orientation,8.5,15,NA,NA
OTm_orientation,8.5,16,10,10
OTm_orientation,8.5,17,NA,NA
OTm_orientation,8.5,18,NA,NA
OTm_orientation,8.5,19,NA,NA
OTm_orientation,8.75,1,0,1
OTm_orientation,8.75,2,2,2
OTm_orientation,8.75,3,NA,NA
OTm_orientation,8.75,4,3,3
OTm_orientation,8.75,5,4,4
OTm_orientation,8.75,6,NA,NA
OTm_orientation,8.75,7,5,5
OTm_orientation,8.75,8,6,6
OTm_orientation,8.75,9,NA,NA
OTm_orientation,8.75,10,7,7
OTm_orientation,8.75,11,8,8
OTm_orientation,8.75,12,NA,NA
OTm_orientation,8.75,13,9,9
OTm_orientation,8.75,14,NA,NA
OTm_orientation,8.75,15,NA,NA
OTm_orientation,8.75,16,10,10
OTm_orientation,8.75,17,NA,NA
OTm_orientation,8.75,18,NA,NA
OTm_orientation,8.75,19,NA,NA
OTm_orientation,9,1,0,2
OTm_orientation,9,2,NA,NA
OTm_orientation,9,3,NA,NA
OTm_orientation,9,4,3,3
OTm_orientation,9,5,4,4
OTm_orientation,9,6,5,5
OTm_orientation,9,7,NA,NA
OTm_orientation,9,8,6,6
OTm_orientation,9,9,7,7
OTm_orientation,9,10,NA,NA
OTm_orientation,9,11,8,8
OTm_orientation,9,12,NA,NA
OTm_orientation,9,13,9,9
OTm_orientation,9,14,NA,NA
OTm_orientation,9,15,NA,NA
OTm_orientation,9,16,10,10
OTm_orientation,9,17,NA,NA
OTm_orientation,9,18,NA,NA
OTm_orientation,9,19,NA,NA
OTm_orientation,9.25,1,0,2
OTm_orientation,9.25,2,NA,NA
OTm_orientation,9.25,3,3,3
OTm_orientation,9.25,4,NA,NA
OTm_orientation,9.25,5,4,4
OTm_orientation,9.25,6,5,5
OTm_orientation,9.25,7,6,6
OTm_orientation,9.25,8,NA,NA
OTm_orientation,9.25,9,7,7
OTm_orientation,9.25,10,NA,NA
OTm_orientation,9.25,11,8,8
OTm_orientation,9.25,12,NA,NA
OTm_orientation,9.25,13,9,9
OTm_orientation,9.25,14,NA,NA
OTm_orientation,9.25,15,NA,NA
OTm_orientation,9.25,16,10,10
OTm_orientation,9.25,17,NA,NA
OTm_orientation,9.25,18,NA,NA
OTm_orientation,9.25,19,NA,NA
OTm_orientation,9.5,1,0,2
OTm_orientation,9.5,2,NA,NA
OTm_orientation,9.5,3,3,3
OTm_orientation,9.5,4,4,4
OTm_orientation,9.5,5,NA,NA
OTm_orientation,9.5,6,5,5
